condition,leader,repetition,player,ioi0,ioi1,ioi2,ioi3,ioi4,ioi5,ioi6,ioi7,ioi8,ioi9,ioi10,ioi11,ioi12,ioi13,ioi14,ioi15,ioi16,ioi17,ioi18,ioi19,ioi20,ioi21,ioi22,ioi23,ioi24,ioi25,ioi26,ioi27,ioi28,ioi29,ioi30,ioi31,ioi32,ioi33,ioi34,ioi35,ioi36,ioi37,ioi38,ioi39,ioi40,ioi41,ioi42,ioi43,ioi44,ioi45
DP,VN1,1,VN1,250.0,210.00000000000085,250.0,229.99999999999864,270.00000000000136,229.99999999999864,259.9999999999998,240.00000000000023,220.00000000000063,220.00000000000063,250.0,250.0,259.9999999999998,250.0,259.9999999999998,209.9999999999991,260.0000000000016,199.9999999999993,280.00000000000114,219.99999999999886,250.0,219.99999999999886,250.0,240.27200000000093,249.72800000000106,230.00000000000043,179.99999999999972,299.99999999999716,230.00000000000043,260.0000000000016,210.00000000000085,230.00000000000043,239.99999999999844,219.99999999999886,227.68699999999953,232.31300000000132,250.0,240.000000000002,250.0,219.99999999999886,250.0,219.99999999999886,250.0,235.53300000000021,224.46700000000064,250.0
DP,VN1,1,VN2,250.0,250.0,240.00000000000023,240.00000000000023,250.0,240.00000000000023,240.00000000000023,219.99999999999886,259.9999999999998,220.00000000000063,240.00000000000023,230.00000000000043,259.9999999999998,230.00000000000043,250.0,239.99999999999844,230.00000000000043,219.99999999999886,280.00000000000114,240.000000000002,250.0,219.99999999999886,199.9999999999993,250.0,269.99999999999955,219.99999999999886,240.000000000002,230.00000000000043,239.99999999999844,220.00000000000242,239.99999999999844,230.00000000000043,250.0,250.0,230.00000000000043,239.99999999999844,190.00000000000128,259.999999999998,250.0,220.00000000000242,259.999999999998,240.000000000002,250.0,230.00000000000043,239.99999999999844,239.99999999999844
DP,VN1,1,VA,259.9999999999998,230.00000000000043,250.0,240.00000000000023,240.00000000000023,240.00000000000023,230.00000000000043,229.99999999999864,240.00000000000023,230.00000000000043,259.9999999999998,240.00000000000023,230.00000000000043,259.9999999999998,230.00000000000043,259.9999999999998,210.00000000000085,259.999999999998,220.00000000000242,259.999999999998,230.00000000000043,250.0,230.00000000000043,219.99999999999886,230.00000000000043,250.0,230.00000000000043,219.99999999999886,240.000000000002,269.99999999999955,219.99999999999886,250.0,199.9999999999993,240.000000000002,239.99999999999844,250.0,240.000000000002,230.00000000000043,229.99999999999687,220.00000000000242,239.99999999999844,250.0,230.00000000000043,250.0,250.0,250.0
DP,VN1,1,VC,220.00000000000063,240.00000000000023,259.9999999999998,230.00000000000043,259.9999999999998,219.99999999999886,250.0,220.00000000000063,279.9999999999994,160.40800000000033,279.59200000000095,269.99999999999955,259.9999999999998,215.71400000000017,264.28600000000023,229.99999999999864,240.000000000002,230.00000000000043,199.9999999999993,269.99999999999955,250.0,199.9999999999993,280.00000000000114,230.00000000000043,250.0,189.99999999999773,269.99999999999955,200.00000000000284,269.99999999999955,250.0,230.00000000000043,230.00000000000043,239.99999999999844,230.00000000000043,250.0,239.99999999999844,230.00000000000043,230.00000000000043,240.000000000002,229.99999999999687,230.00000000000043,240.000000000002,230.00000000000043,259.999999999998,250.0,250.0
DP,VN1,2,VN1,250.0,219.99999999999886,290.0000000000009,209.9999999999991,290.0000000000009,250.0,250.0,250.0,259.9999999999998,259.9999999999998,199.9999999999993,290.0000000000009,240.00000000000023,259.9999999999998,260.0000000000016,239.99999999999844,269.99999999999955,250.0,240.000000000002,219.99999999999886,250.0,250.0,250.0,239.99999999999844,269.99999999999955,240.000000000002,250.0,259.999999999998,230.00000000000043,260.0000000000016,230.00000000000043,189.99999999999773,280.00000000000114,269.99999999999955,210.2719999999998,259.72799999999904,240.000000000002,250.0,239.99999999999844,260.0000000000016,230.00000000000043,239.99999999999844,261.2240000000021,218.7759999999983,309.99999999999875,240.000000000002
DP,VN1,2,VN2,260.0000000000016,269.99999999999955,230.00000000000043,269.99999999999955,259.9999999999998,230.00000000000043,259.9999999999998,240.00000000000023,229.99999999999864,300.0000000000007,230.00000000000043,250.0,250.0,270.00000000000136,250.0,229.99999999999687,260.0000000000016,230.00000000000043,250.0,259.999999999998,260.0000000000016,260.0000000000016,229.99999999999687,250.0,200.00000000000284,289.99999999999915,210.00000000000085,269.99999999999955,230.00000000000043,250.0,259.999999999998,240.000000000002,250.0,239.99999999999844,260.0000000000016,219.99999999999886,250.0,250.0,199.9999999999993,280.00000000000114,250.0,210.00000000000085,259.999999999998,280.00000000000114,300.0000000000007,199.9999999999993
DP,VN1,2,VA,250.0,259.9999999999998,300.0000000000007,209.9999999999991,259.9999999999998,240.00000000000023,259.9999999999998,240.00000000000023,230.00000000000043,240.00000000000023,269.99999999999955,250.0,240.00000000000023,259.9999999999998,250.0,260.0000000000016,239.99999999999844,260.0000000000016,250.0,229.99999999999687,250.0,240.000000000002,247.3019999999977,232.69800000000274,260.72599999999824,239.27400000000176,254.1499999999992,255.8499999999988,250.0,250.0,240.000000000002,259.999999999998,240.000000000002,230.00000000000043,239.99999999999844,260.0000000000016,239.99999999999844,230.00000000000043,259.999999999998,230.00000000000043,230.00000000000043,260.0000000000016,250.0,239.99999999999844,269.99999999999955,220.00000000000242
DP,VN1,2,VC,250.0,250.0,240.00000000000023,240.00000000000023,269.99999999999955,209.9999999999991,280.00000000000114,279.9999999999994,240.00000000000023,259.9999999999998,250.0,240.00000000000023,259.9999999999998,240.00000000000023,260.0000000000016,259.999999999998,270.5669999999998,219.4330000000022,199.9999999999993,289.99999999999915,239.99999999999844,220.00000000000242,329.9999999999983,220.00000000000242,229.99999999999687,260.0000000000016,210.00000000000085,230.00000000000043,289.99999999999915,239.99999999999844,240.000000000002,250.0,250.0,250.0,250.0,269.99999999999955,230.00000000000043,230.00000000000043,199.9999999999993,230.00000000000043,279.9999999999976,250.0,229.61500000000257,260.3849999999994,250.0,250.0
DP,VN1,3,VN1,250.0,230.00000000000043,279.9999999999994,220.00000000000063,269.99999999999955,240.00000000000023,259.9999999999998,230.00000000000043,259.9999999999998,230.00000000000043,269.99999999999955,250.0,209.9999999999991,290.0000000000009,260.0000000000016,239.99999999999844,260.0000000000016,209.9999999999973,290.00000000000273,209.9999999999973,250.81600000000037,259.1840000000012,230.00000000000043,250.0,259.999999999998,210.00000000000085,239.99999999999844,250.0,250.0,250.0,230.00000000000043,250.0,250.0,200.00000000000284,259.999999999998,289.99999999999915,240.000000000002,250.0,239.99999999999844,230.00000000000043,250.0,230.00000000000043,269.99999999999955,219.99999999999886,260.0000000000016,269.99999999999955
DP,VN1,3,VN2,250.0,210.00000000000085,279.9999999999994,269.99999999999955,250.0,250.0,240.00000000000023,230.00000000000043,259.9999999999998,230.00000000000043,259.9999999999998,269.99999999999955,240.00000000000023,239.99999999999844,270.0000000000031,219.99999999999886,259.999999999998,230.00000000000043,250.0,240.000000000002,239.99999999999844,240.000000000002,250.0,229.99999999999687,240.000000000002,280.00000000000114,229.99999999999687,250.0,230.00000000000043,250.0,250.0,230.00000000000043,269.99999999999955,230.00000000000043,240.000000000002,230.00000000000043,259.999999999998,250.0,240.000000000002,219.99999999999886,269.99999999999955,219.99999999999886,280.00000000000114,239.99999999999844,250.0,240.000000000002
